SID,ISO_TIME,LAT,LON,BASIN,SUBBASIN
1884177N17124,1884-06-24 18:00:00,16.5373,123.8,WP,MM
1884186N16125,1884-07-03 18:00:00,16.1115,124.877,WP,MM
1884191N15127,1884-07-08 18:00:00,14.8957,126.442,WP,MM
1884201N18129,1884-07-18 18:00:00,18.0556,128.426,WP,MM
1884208N13127,1884-07-25 18:00:00,13.389,125.997,WP,MM
1884215N13130,1884-08-01 18:00:00,13.1432,129.091,WP,MM
1884231N11128,1884-08-17 18:00:00,11.0241,128.028,WP,MM
1884236N13127,1884-08-22 18:00:00,13.5157,127.29,WP,MM
1884243N15129,1884-08-29 18:00:00,15.4002,128.5,WP,MM
1884250N15129,1884-09-05 18:00:00,14.7573,128.431,WP,MM
1884263N16125,1884-09-18 18:00:00,15.7911,124.784,WP,MM
1884318N11126,1884-11-12 18:00:00,10.6059,125.354,WP,MM
1884322N14126,1884-11-17 06:00:00,13.7115,125.619,WP,MM
1884343N14124,1884-12-07 18:00:00,14.0995,124.251,WP,MM
1885115N11127,1885-04-24 18:00:00,10.8052,126.726,WP,MM
1885181N19131,1885-06-29 18:00:00,20.2015,130.143,WP,MM
1885192N07135,1885-07-10 18:00:00,7.44861,134.71,WP,MM
1885197N12138,1885-07-16 06:00:00,12.017,137.551,WP,MM
1885208N21139,1885-07-26 18:00:00,21.1167,138.794,WP,MM
1885227N16114,1885-08-15 06:00:00,15.7539,114.105,WP,MM
1885230N12136,1885-08-17 18:00:00,11.5602,136.186,WP,MM
1885241N15141,1885-08-28 18:00:00,15.2736,140.55,WP,MM
1885310N10138,1885-11-05 18:00:00,10.8265,135.496,WP,MM
1886160N19128,1886-06-08 18:00:00,18.5133,127.614,WP,MM
1886165N21130,1886-06-13 18:00:00,21.4738,129.563,WP,MM
1886217N24141,1886-08-04 18:00:00,23.7668,141.288,WP,MM
1886221N22120,1886-08-08 18:00:00,22.1011,119.966,WP,MM
1886232N28133,1886-08-19 18:00:00,27.6503,132.568,WP,MM
1886239N17125,1886-08-26 18:00:00,17.4046,124.442,WP,MM
1886246N18135,1886-09-02 18:00:00,18.4262,134.534,WP,MM
1886259N16117,1886-09-15 18:00:00,16.5639,117.157,WP,MM
1886259N26134,1886-09-15 18:00:00,25.9008,133.487,WP,MM
1886265N20133,1886-09-21 18:00:00,19.9371,131.725,WP,MM
1886280N15127,1886-10-06 18:00:00,15.1816,126.922,WP,MM
1886285N18138,1886-10-11 18:00:00,18.5778,137.234,WP,MM
1886288N11128,1886-10-14 18:00:00,11.428,127.28,WP,MM
1886320N10131,1886-11-15 18:00:00,10.9554,130.342,WP,MM
1886351N09129,1886-12-16 18:00:00,9.10163,128.145,WP,MM
1887130N10137,1887-05-09 18:00:00,10.2674,136.266,WP,MM
1887139N12116,1887-05-18 18:00:00,12.4259,115.975,WP,MM
1887180N10127,1887-06-28 18:00:00,10.118,126.398,WP,MM
1887189N11122,1887-07-07 18:00:00,10.5,121.494,WP,MM
1887198N15119,1887-07-16 18:00:00,15.3276,118.692,WP,MM
1887202N24131,1887-07-20 18:00:00,24.2287,130.692,WP,MM
1887206N22129,1887-07-24 18:00:00,22.5684,128.515,WP,MM
1887210N22132,1887-07-28 18:00:00,22.0308,131.468,WP,MM
1887226N16116,1887-08-13 18:00:00,15.9832,116.001,WP,MM
1887232N19107,1887-08-19 18:00:00,18.8574,107.267,WP,MM
1887235N21122,1887-08-23 06:00:00,20.8839,122.002,WP,MM
1887247N12116,1887-09-03 18:00:00,11.7153,116.239,WP,MM
